timestamp,initialpose_x,initialpose_y,initialpose_z,initialpose_qx,initialpose_qy,initialpose_qz,initialpose_qw,amcl_pose_x,amcl_pose_y,amcl_pose_z,amcl_pose_qx,amcl_pose_qy,amcl_pose_qz,amcl_pose_qw,odom_x,odom_y,odom_vx,odom_vy,odom_angular_z,cmd_vel_vx,cmd_vel_vy,cmd_vel_angular_z,goal_x,goal_y,goal_z,goal_qx,goal_qy,goal_qz,goal_qw
2025-08-22 14:43:53.700,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429657333669053,-3.203696694025373,-7.460698725481052e-12,0.0,-1.0000000000005167,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:53.800,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.850915833853183,-3.0204331836755256,0.0,0.0,0.0,-0.8524113852630265,0.5228717149301234,3.7429657333672095,-3.2036966940248504,-7.460698725481052e-12,0.0,-1.0000000000005165,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:53.900,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.850915833853183,-3.0204331836755256,0.0,0.0,0.0,-0.8524113852630265,0.5228717149301234,3.742965733367464,-3.203696694024482,-7.638334409421077e-12,0.0,-1.0000000000017546,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.000,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429657333677406,-3.2036966940241243,-7.460698725481052e-12,0.0,-1.0000000000005165,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.100,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.827702870156235,-2.9774068661578936,0.0,0.0,0.0,-0.8997996783912394,0.43630326467609903,3.742965733368037,-3.203696694023787,-7.460698725481052e-12,0.0,-1.0000000000029925,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.200,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.827702870156235,-2.9774068661578936,0.0,0.0,0.0,-0.8997996783912394,0.43630326467609903,3.742965733368351,-3.203696694023467,-7.460698725481052e-12,0.0,-1.0000000000029925,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.300,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429657333688,-3.2036966940230713,-7.283063041541027e-12,0.0,-1.0000000000017546,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.400,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.8141940361274793,-2.9772511023263424,0.0,0.0,0.0,-0.939984221261331,0.34121791245438626,3.742965733369162,-3.2036966940227964,-7.460698725481052e-12,0.0,-1.0000000000029925,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.500,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.8141940361274793,-2.9772511023263424,0.0,0.0,0.0,-0.939984221261331,0.34121791245438626,3.742965733369533,-3.2036966940225438,-7.638334409421077e-12,0.0,-1.0000000000017546,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.600,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7423690527101514,-3.2040340515650696,0.030747368348649218,0.0,-0.9999999999844242,0.031578947368421054,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.700,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7402354689889714,-3.205111855691702,0.05807894721616691,0.0,-0.9999999999571909,0.06315789473684211,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.800,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.736997007170732,-3.2065324468129432,0.04736842104602346,0.0,-1.000000000016609,0.04736842105263158,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:54.900,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.7929298349948297,-2.9705763537863343,0.0,0.0,0.0,-0.9798736673834795,0.19961862630639,3.734184524057903,-3.2075609307222583,0.05986842090042188,0.0,-0.9999999999571907,0.2526315789473684,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.000,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.7929298349948297,-2.9705763537863343,0.0,0.0,0.0,-0.9798736673834795,0.19961862630639,3.728728701938293,-3.2091810147112834,0.11986842090045968,0.0,-0.9999999999757592,0.2210526315789473,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.100,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.719682371761013,-3.2112979828922597,0.17986842090031985,0.0,-0.9999999999930893,0.18947368421052627,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.200,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7086963409671165,-3.213208924712227,0.17368421053767236,0.0,-1.0000000000227982,0.17368421052631575,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.300,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.7661335832665928,-2.9995732447729124,0.0,0.0,0.0,-0.9949179103642142,0.10068938194519599,3.7016488003358012,-3.214069502508664,0.18618421037412958,0.0,-0.999999999994327,0.23684210526315783,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.400,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.7661335832665928,-2.9995732447729124,0.0,0.0,0.0,-0.9949179103642142,0.10068938194519599,3.6884126485360804,-3.215003642269429,0.24618421037398974,0.0,-1.0000000000116576,0.2842105263157894,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.500,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.672906707954471,-3.2151906360596074,0.25263157894066524,0.0,-1.000000000079741,0.2526315789473684,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.600,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.725848209633117,-3.0280685568176486,0.0,0.0,0.0,-0.9999987432937727,0.001585374049022823,3.658336039391363,-3.214494819677991,0.23684210525622973,0.0,-1.0000000000673621,0.23684210526315783,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.700,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.725848209633117,-3.0280685568176486,0.0,0.0,0.0,-0.9999987432937727,0.001585374049022823,3.64414530739116,-3.212951827726075,0.24334210511103294,0.0,-1.0000000000116576,0.2684210526315789,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.800,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.623216719069093,-3.209175853961465,0.2684210526268771,0.0,-1.0000000000797407,0.2684210526315789,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:55.900,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.680751831834269,-3.019548509140491,0.0,0.0,0.0,0.9950945954329933,0.09892798461531158,3.607201888359965,-3.2051104625949676,0.2842105263097139,0.0,-1.0000000000809788,0.2842105263157894,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.000,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.680751831834269,-3.019548509140491,0.0,0.0,0.0,0.9950945954329933,0.09892798461531158,3.590955121859558,-3.1999386549002717,0.2842105263097139,0.0,-1.0000000000809786,0.2842105263157894,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.100,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.574702501001826,-3.193661664652207,0.2999999999941494,0.0,-1.000000000093357,0.29999999999999993,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.200,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.634089724269275,-3.013019567718586,0.0,0.0,0.0,0.9787491713286988,0.2050611119237031,3.5585574467440146,-3.1862987317525855,0.28421052630953625,0.0,-1.0000000000846923,0.2842105263157894,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.300,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.634089724269275,-3.013019567718586,0.0,0.0,0.0,0.9787491713286988,0.2050611119237031,3.543499074519928,-3.178301829695495,0.2842105263097139,0.0,-1.000000000078503,0.2842105263157894,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.400,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.5288919158075545,-3.16938050031633,0.29071052616380655,0.0,-1.0000000000252742,0.29999999999999993,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.500,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.5141294473702005,-3.159102226101521,0.2999999999941494,0.0,-1.0000000000933573,0.29999999999999993,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.600,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.5664638810805918,-2.9524051906007887,0.0,0.0,0.0,0.95454252365286,0.29807477340162347,3.500197331552209,-3.1481126079686486,0.2842105263097139,0.0,-1.0000000000809788,0.2842105263157894,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.700,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.5664638810805918,-2.9524051906007887,0.0,0.0,0.0,0.95454252365286,0.29807477340162347,3.4830573786208134,-3.132503753312462,0.2999999999941494,0.0,-1.0000000000933573,0.29999999999999993,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.800,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.4706184794896804,-3.1194967464073615,0.2999999999941494,0.0,-0.9487179487941398,0.29999999999999993,0.0,-0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:56.900,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.4589503943069047,-3.1057940905876094,0.2999999999941494,0.0,-1.0000000000933573,0.29999999999999993,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:57.000,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.5149843413405577,-2.9272078486961046,0.0,0.0,0.0,0.8963411680082344,0.44336498568745153,3.4481205630612637,-3.0914198926328913,0.2999999999941494,0.0,-1.0000000000933575,0.29999999999999993,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:57.100,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.5149843413405577,-2.9272078486961046,0.0,0.0,0.0,0.8963411680082344,0.44336498568745153,3.438168384547115,-3.076422780086936,0.29999999999343885,0.0,-0.8400000005928829,0.29999999999999993,0.0,-0.7948717948717947,0.0,0.0,0.0,0.0,0.0,0.0,1.0
